oldCode,oldName,oldCategoryGuess,suggestedProductId,suggestedProductName,newCategory,matchType,confidence,ownerDecision,note
"0101","เหล็กหนาพิเศษ","เหล็ก","prod_mqgp97xypvvrh0u807kgaghu","เหล็กหนาพิเศษ","เหล็ก","EXACT",100,"","ชื่อตรงกัน 100%"
"0102","เหล็กหนาพิเศษยาว","เหล็ก","prod_mqgp97xypvvrh0u807kgaghu","เหล็กหนาพิเศษ","เหล็ก","CONTAINS_REVERSE",80,"","excel มี ""เหล็กหนาพิเศษ"" เป็น subset"
"0103","เหล็กหนาสั้น","เหล็ก","prod_mqgp98443nt9tbljuk6uaxpy","เหล็กหนาสั้น","เหล็ก","EXACT",100,"","ชื่อตรงกัน 100%"
"0104","เหล็กหนายาว","เหล็ก","prod_mqgp98a6ptx33sfd66e4s9ck","เหล็กหนายาว","เหล็ก","EXACT",100,"","ชื่อตรงกัน 100%"
"0105","เหล็กคละ","เหล็ก","prod_mqgp98gj4g2y4gogoyy5i7m5","เหล็กคละ","เหล็ก","EXACT",100,"","ชื่อตรงกัน 100%"
"0106","เหล็กบาง","เหล็ก","prod_mqgp98n84w35u63lvp47gmhh","เหล็กบาง","เหล็ก","EXACT",100,"","ชื่อตรงกัน 100%"
"0107","กระป๋อง,ปี๊บ","เหล็ก","prod_mqgp99ij5mr6pceki4s9072l","กระป๋อง , ปี๊บ","เหล็ก","EXACT",100,"","ชื่อตรงกัน — owner rule: กระป๋องเหล็ก/ปี๊บเหล็ก อยู่หมวดเหล็ก"
"0108","สังกะสี","เหล็ก","prod_mqgp99p3hjprvga4kypmo20p","สังกะสี","เหล็ก","EXACT",100,"","ชื่อตรงกัน — สังกะสีอยู่หมวดเหล็กในระบบใหม่"
"0116","ถัง 15ถึง200 ลิตร","เหล็ก","prod_mqgp99vijqwa10dzb68wohxt","ถัง15-200ลิตร (สะอาด)","เหล็ก","CONTAINS",85,"","ถังเหล็ก หมวดเดียวกัน"
"0118","ปั๊มสังกะสี","เหล็ก","prod_mqgp99p3hjprvga4kypmo20p","สังกะสี","เหล็ก","CONTAINS_REVERSE",80,"","excel มี ""สังกะสี"" เป็น subset"
"0124","เครื่องจักร","เหล็ก","cmqoxnq2t0001qjext8shxga1","เครื่องจักร","เหล็ก","EXACT",100,"","ชื่อตรงกัน 100%"
"0126","เหล็กบางยาว","เหล็ก","prod_mqgp98n84w35u63lvp47gmhh","เหล็กบาง","เหล็ก","CONTAINS_REVERSE",80,"","excel มี ""เหล็กบาง"" เป็น subset"
